Index,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
0,536571,84991,60 TEATIME FAIRY CAKE CASES,1,12/24/10 11:43,0.55,14006,United Kingdom
1,536122,84625,PINK CHERRY LIGHTS STRING SET,10,12/3/10 14:14,4.65,15456,United Kingdom
2,536122,22197,POPCORN HOLDER,5,12/3/10 14:14,1.65,17865,United Kingdom
3,539108,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,3,12/26/10 13:44,4.25,19121,United Kingdom
4,539108,22616,PACK OF 12 LONDON TISSUES,2,12/26/10 13:44,1.45,19841,United Kingdom
5,539108,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,12/26/10 13:44,4.25,18942,United Kingdom
6,539985,22661,CHRISTMAS LIGHTS 10 REINDEER,2,12/30/10 20:05,4.25,15763,United Kingdom
7,539985,84997B,CHILDRENS CUTLERY POLKA DOT PINK,2,12/30/10 20:05,4.15,19253,United Kingdom
8,539166,23166,MEDIUM CERAMIC TOP STORAGE JAR,1,12/10/10 10:54,5.95,17417,United Kingdom
9,536666,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,9,12/12/10 19:13,4.25,15714,United Kingdom
10,538495,84077,WORLD WAR 2 GLIDERS ASSORTED DESIGNS,2,12/21/10 13:34,1.69,17308,Spain
11,538495,22629,SPACEBOY LUNCH BOX,2,12/21/10 13:34,1.95,14211,United Kingdom
12,539366,22866,HAND WARMER OWL DESIGN,2,12/2/10 18:25,1.85,12458,United Kingdom
13,539366,20713,RED HANGING HEART T-LIGHT HOLDER,1,12/2/10 18:25,2.85,16646,Netherlands
14,539366,22310,IVORY KNITTED MUG COSY,6,12/2/10 18:25,1.65,19491,United Kingdom
15,539059,84879,ASSORTED COLOUR BIRD ORNAMENT,2,12/19/10 21:57,1.69,16598,United Kingdom
16,536372,22912,YELLOW HARMONICA IN BOX,3,12/25/10 9:55,1.25,13133,United Kingdom
17,536372,22633,HAND WARMER UNION JACK,1,12/25/10 9:55,1.85,17574,United Kingdom
18,539977,22661,CHRISTMAS LIGHTS 10 REINDEER,1,12/18/10 8:43,4.25,15834,United Kingdom
19,539977,22629,SPACEBOY LUNCH BOX,1,12/18/10 8:43,1.95,18151,Germany
20,537858,84970B,SINGLE HEART DOOR PLAQUE,5,12/2/10 7:56,1.95,15561,United Kingdom
21,539565,22629,SPACEBOY LUNCH BOX,2,12/21/10 17:53,1.95,13463,United Kingdom
22,538209,84991,60 TEATIME FAIRY CAKE CASES,4,12/26/10 0:58,0.55,15063,United Kingdom
23,538209,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,12/26/10 0:58,2.55,12916,United Kingdom
24,536986,22469,HEART OF WICKER LARGE,30,12/30/10 2:05,3.45,13961,United Kingdom
25,536986,22752,SET 7 BABUSHKA NESTING BOXES,7,12/30/10 2:05,7.65,18230,United Kingdom
26,536986,22632,HAND WARMER RED POLKA DOT,6,12/30/10 2:05,1.85,13352,Belgium
27,536986,22960,JAM MAKING SET WITH JARS,10,12/30/10 2:05,4.25,13735,United Kingdom
28,536986,22867,HAND WARMER CAT DESIGN,2,12/30/10 2:05,1.85,17323,Finland
29,536986,22111,SCOTTIE DOG HOT WATER BOTTLE,10,12/30/10 2:05,6.95,14030,United Kingdom
30,536029,84029E,RED WOOLLY HOTTIE WHITE HEART,2,12/4/10 6:40,3.39,13885,United Kingdom
31,536029,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,12/4/10 6:40,3.39,19042,Netherlands
32,538208,84029E,RED WOOLLY HOTTIE WHITE HEART,4,12/6/10 7:59,3.39,15976,United Kingdom
33,538208,22469,HEART OF WICKER LARGE,5,12/6/10 7:59,3.45,18427,United Kingdom
34,538208,22868,HAND WARMER ELEPHANT DESIGN,3,12/6/10 7:59,1.85,17398,United Kingdom
35,538758,84378,HANGING HEART JAR T-LIGHT HOLDER,3,12/22/10 4:06,2.95,17972,United Kingdom
